      
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , -.003,50          , 16.65236469694, .0040220653424162 , 25               , 25        , 35                  , 51             , 3.5                , 5.0999999999999996
 2.1           , -.004,50          , 15.7          , .0037920395706639 , 25               , 25        , 35                  , 51             , 3.5                , 5.0999999999999996
 2.1           , -.005,50          , 14.89432777939, .0035974446062355 , 25               , 25        , 38                  , 40             , 3.79999999999999982, 4                 
 2.1           , -.006,50          , 14.20118432961, .0034300288489276 , 25               , 25        , 39                  , 34             , 3.89999999999999991, 3.3999999999999999
 2.1           , -.007,50          , 13.59659883941, .0032840026003508 , 25               , 25        , 41                  , 35             , 4.09999999999999964, 3.5               
 2.1           , -.008,50          , 13.0631896211 , .0031551676409116 , 25               , 25        , 41                  , 27             , 4.09999999999999964, 2.7000000000000001
 2.1           , -.009,50          , 12.58800449407, .0030403956151089 , 25               , 25        , 45                  , 30             , 4.5                , 3                 
 2.1           , -.011,50          , 12.16116770709, .0029373012210681 , 25               , 25        , 45                  , 34             , 4.5                , 3.3999999999999999
 2.1           , -.012,50          , 11.775        , .0028440296779979 , 25               , 25        , 44                  , 31             , 4.40000000000000035, 3.1               
 2.1           , -.014,50          , 11.42342793921, .0027591140623004 , 25               , 25        , 45                  , 39             , 4.5                , 3.8999999999999999
 2.1           , -.016,50          , 11.10157646462, .0026813768949441 , 25               , 25        , 47                  , 20             , 4.70000000000000017, 2                 
 2.1           , -.018,50          , 10.8054810653 , .0026098606229092 , 25               , 25        , 46                  , 24             , 4.59999999999999964, 2.3999999999999999
 2.1           , -.02 ,50          , 10.53188017402, .0025437774760121 , 25               , 25        , 49                  , 32             , 4.90000000000000035, 3.2000000000000001
 2.1           , -.016,50          , 11.10157646462, .0026813768949441 , 25               , 25        , 47                  , 20             , 4.70000000000000017, 2                 
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 a0 = -0.5 x a /
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , -.005,50          , 47.1          , .0113761187119917 , 25               , 25        , 16                  , 54             , 1.60000000000000008, 5.4000000000000003
 2.1           , -.01 ,50          , 33.30472939388, .0080441306848325 , 25               , 25        , 20                  , 34             , 2                  , 3.3999999999999999
 2.1           , -.015,50          , 27.19319767883, .0065680052007016 , 25               , 25        , 26                  , 28             , 2.60000000000000008, 2.7999999999999998
 2.1           , -.02 ,50          , 23.55         , .0056880593559958 , 25               , 25        , 29                  , 31             , 2.89999999999999991, 3.1               
 2.1           , -.025,50          , 21.06376034804, .0050875549520242 , 25               , 25        , 30                  , 19             , 3                  , 1.8999999999999999
