 250UM SAPPHIRE 
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.768     , 261.53846 , 223.5384615384615, 20               , 10                  , 43             , .999999900000000052, 4.2999999999999998
 1.768     , 261.53846 , 227.5384615384615, 20               , 10                  , 49             , .999999900000000052, 4.9000000000000003
 1.768     , 261.53846 , 231.5384615384615, 20               , 11                  , 49             , 1.10000000000000008, 4.9000000000000003
 1.768     , 261.53846 , 235.5384615384615, 20               , 10                  , 39             , .999999900000000052, 3.8999999999999999
 1.768     , 261.53846 , 239.5384615384615, 20               , 11                  , 44             , 1.10000000000000008, 4.4000000000000003
 1.768     , 261.53846 , 243.5384615384615, 20               , 10                  , 37             , .999999900000000052, 3.7000000000000001
 1.768     , 261.53846 , 247.5384615384615, 20               , 10                  , 34             , .999999900000000052, 3.3999999999999999
 1.768     , 261.53846 , 251.5384615384615, 20               , 11                  , 42             , 1.10000000000000008, 4.2000000000000001
 1.768     , 261.53846 , 255.5384615384615, 20               , 10                  , 43             , .999999900000000052, 4.2999999999999998
 1.768     , 261.53846 , 259.5384615384615, 20               , 8                   , 31             , .800000000000000044, 3.1               
 1.768     , 261.53846 , 263.5384615384615, 20               , 9                   , 29             , .899999899999999963, 2.8999999999999999
 1.768     , 261.53846 , 267.5384615384615, 20               , 9                   , 34             , .899999899999999963, 3.3999999999999999
 1.768     , 261.53846 , 271.5384615384615, 20               , 9                   , 33             , .899999899999999963, 3.2999999999999998
 1.768     , 261.53846 , 275.5384615384615, 20               , 9                   , 28             , .899999899999999963, 2.7999999999999998
 1.768     , 261.53846 , 279.5384615384615, 20               , 8                   , 30             , .800000000000000044, 3                 
 1.768     , 261.53846 , 283.5384615384615, 20               , 8                   , 34             , .800000000000000044, 3.3999999999999999
 1.768     , 261.53846 , 287.5384615384615, 20               , 7                   , 27             , .699999999999999955, 2.7000000000000001
 1.768     , 261.53846 , 291.5384615384615, 20               , 8                   , 29             , .800000000000000044, 2.8999999999999999
 1.768     , 261.53846 , 295.5384615384615, 20               , 8                   , 33             , .800000000000000044, 3.2999999999999998
 1.768     , 261.53846 , 299.5384615384615, 20               , 7                   , 22             , .699999999999999955, 2.2000000000000001
 1.768     , 261.53846 , 303.5384615384615, 20               , 8                   , 25             , .800000000000000044, 2.5               
 1.768     , 261.53846 , 307.5384615384615, 20               , 6                   , 25             , .599999999999999977, 2.5               
 1.768     , 261.53846 , 311.5384615384615, 20               , 8                   , 21             , .800000000000000044, 2.1               
 1.768     , 261.53846 , 311.5384615384615, 20               , 8                   , 21             , .800000000000000044, 2.1               
 EM_WAVE,.59       ,AIR_GAP,         2.,LENS_DIA,200        ,DET_RAD,100         
          
       
 200UM SAPPHIRE 
 N_LENS, LENS_F (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.768     , 261.53846 , 101              , 20               , 12                  , 44             , 1.19999999999999995, 4.4000000000000003
 1.768     , 261.53846 , 111              , 20               , 12                  , 55             , 1.19999999999999995, 5.5               
 1.768     , 261.53846 , 121              , 20               , 14                  , 60             , 1.39999999999999991, 6                 
 1.768     , 261.53846 , 131              , 20               , 13                  , 79             , 1.30000000000000004, 7.9000000000000003
 1.768     , 261.53846 , 141              , 20               , 14                  , 87             , 1.39999999999999991, 8.699999          
 1.768     , 261.53846 , 151              , 20               , 11                  , 98             , 1.10000000000000008, 9.7999989999999996
 1.768     , 261.53846 , 161              , 20               , 11                  , 108            , 1.10000000000000008, 10.8              
 1.768     , 261.53846 , 171              , 20               , 12                  , 85             , 1.19999999999999995, 8.4999990000000007
 1.768     , 261.53846 , 181              , 20               , 13                  , 72             , 1.30000000000000004, 7.2000000000000001
 1.768     , 261.53846 , 191              , 20               , 12                  , 63             , 1.19999999999999995, 6.2999999999999998
 1.768     , 261.53846 , 201              , 20               , 13                  , 57             , 1.30000000000000004, 5.7000000000000001
 1.768     , 261.53846 , 211              , 20               , 11                  , 55             , 1.10000000000000008, 5.5               
 1.768     , 261.53846 , 221              , 20               , 9                   , 48             , .899999899999999963, 4.7999999999999998
 1.768     , 261.53846 , 231              , 20               , 9                   , 44             , .899999899999999963, 4.4000000000000003
 1.768     , 261.53846 , 241              , 20               , 11                  , 45             , 1.10000000000000008, 4.5               
 1.768     , 261.53846 , 251              , 20               , 10                  , 32             , .999999900000000052, 3.2000000000000001
 1.768     , 261.53846 , 261              , 20               , 10                  , 34             , .999999900000000052, 3.3999999999999999
 1.768     , 261.53846 , 271              , 20               , 12                  , 32             , 1.19999999999999995, 3.2000000000000001
 1.768     , 261.53846 , 281              , 20               , 8                   , 28             , .800000000000000044, 2.7999999999999998
 1.768     , 261.53846 , 291              , 20               , 7                   , 29             , .699999999999999955, 2.8999999999999999
 1.768     , 261.53846 , 301              , 20               , 7                   , 28             , .699999999999999955, 2.7999999999999998
 1.768     , 261.53846 , 281              , 20               , 8                   , 28             , .800000000000000044, 2.7999999999999998
 EM_WAVE,.59       ,AIR_GAP,         2.,LENS_DIA,200        ,DET_RAD,100         
          
 162UM SAPPHIRE 
 N_LENS, LENS_F (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.768     , 211.84615 , 82               , 20               , 11                  , 49             , 1.10000000000000008, 4.9000000000000003
 1.768     , 211.84615 , 91.08333333333332, 20               , 12                  , 53             , 1.19999999999999995, 5.2999999999999998
 1.768     , 211.84615 , 100.1666666666666, 20               , 11                  , 76             , 1.10000000000000008, 7.5999999999999996
 1.768     , 211.84615 , 109.25           , 20               , 12                  , 90             , 1.19999999999999995, 8.9999990000000007
 1.768     , 211.84615 , 118.3333333333333, 20               , 12                  , 98             , 1.19999999999999995, 9.7999989999999996
 1.768     , 211.84615 , 127.4166666666666, 20               , 11                  , 98             , 1.10000000000000008, 9.7999989999999996
 1.768     , 211.84615 , 136.5            , 20               , 11                  , 77             , 1.10000000000000008, 7.7000000000000001
 1.768     , 211.84615 , 145.5833333333333, 20               , 11                  , 68             , 1.10000000000000008, 6.7999999999999998
 1.768     , 211.84615 , 154.6666666666666, 20               , 10                  , 64             , .999999900000000052, 6.4000000000000003
 1.768     , 211.84615 , 163.75           , 20               , 11                  , 51             , 1.10000000000000008, 5.0999999999999996
 1.768     , 211.84615 , 172.8333333333333, 20               , 10                  , 53             , .999999900000000052, 5.2999999999999998
 1.768     , 211.84615 , 181.9166666666666, 20               , 14                  , 47             , 1.39999999999999991, 4.7000000000000001
 1.768     , 211.84615 , 191              , 20               , 11                  , 40             , 1.10000000000000008, 4                 
 1.768     , 211.84615 , 200.0833333333333, 20               , 9                   , 37             , .899999899999999963, 3.7000000000000001
 1.768     , 211.84615 , 209.1666666666666, 20               , 10                  , 38             , .999999900000000052, 3.7999999999999998
 1.768     , 211.84615 , 218.25           , 20               , 9                   , 35             , .899999899999999963, 3.5               
 1.768     , 211.84615 , 227.3333333333333, 20               , 10                  , 27             , .999999900000000052, 2.7000000000000001
