    
   BASELINE = 1    , complete set with tolerances for, detector distribution, bare channel, constant laser position
   EX_POW (W), SPOT_DIA, N_LENS, LENS_DIA (um), TOL (um), EFL (um), PDMS_LENS_DET (um), WD_PDMS, ANG, X_SHIFT, DIFF_X, DET_RAD (um), EX_DET_R, EX_DET_F, EX_SPOT_R, EX_SPOT_F, SPOT_DET_R, SPOT_DET_F, THETA, SNR
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 270              , 728.333333, 31.21897, 449      , 0          , 36        , 0          , 0          , 2389        , 78.83727    , 15           , 1008769      , 4.439222, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 270              , 728.333333, 31.21897, 449      , 0          , 64        , 0          , 0          , 2389        , 78.83727    , 31           , 2084787      , 6.383489, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 270              , 728.333333, 31.21897, 449      , 0          , 100       , 0          , 0          , 2389        , 78.83727    , 65           , 4371329      , 9.248704, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 270              , 728.333333, 31.21897, 449      , 0          , 144       , 0          , 0          , 2389        , 78.83727    , 129          , 8675408      , 13.04324, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 270              , 728.333333, 31.21897, 449      , 0          , 196       , 0          , 0          , 2389        , 78.83727    , 206          , 13853750     , 16.50398, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 270              , 728.333333, 31.21897, 449      , 0          , 256       , 0          , 0          , 2389        , 78.83727    , 311          , 20915120     , 20.31468, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 270              , 728.333333, 31.21897, 449      , 0          , 324       , 0          , 0          , 2389        , 78.83727    , 454          , 30532030     , 24.60496, -1    
 , ,, , , ,320             
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 320              , 778.333333, 29.58598, 449      , 0          , 36        , 0          , 0          , 2082        , 67.61997    , 5            , 336255.6     , 2.562558, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 320              , 778.333333, 29.58598, 449      , 0          , 64        , 0          , 0          , 2082        , 67.61997    , 12           , 807013.4     , 3.970362, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 320              , 778.333333, 29.58598, 449      , 0          , 100       , 0          , 0          , 2082        , 67.61997    , 38           , 2555542      , 7.068379, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 320              , 778.333333, 29.58598, 449      , 0          , 144       , 0          , 0          , 2082        , 67.61997    , 96           , 6456106      , 11.24567, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 320              , 778.333333, 29.58598, 449      , 0          , 196       , 0          , 0          , 2082        , 67.61997    , 162          , 10894680     , 14.62479, -1    
