    
   BASELINE = 1    , complete set with tolerances for, detector distribution, bare channel, constant laser position
   EX_POW (W), SPOT_DIA, N_LENS, LENS_DIA (um), TOL (um), EFL (um), PDMS_LENS_DET (um), WD_PDMS, ANG, X_SHIFT, DIFF_X, DET_RAD (um), EX_DET_R, EX_DET_F, EX_SPOT_R, EX_SPOT_F, SPOT_DET_R, SPOT_DET_F, THETA, SNR
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 120              , 395       , 47.77398, 449      , 0          , 100       , 0          , 0          , 4867        , 131.2497    , 184          , 12374390     , 15.59202, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 120              , 395       , 47.77398, 449      , 0          , 144       , 0          , 0          , 4867        , 131.2497    , 335          , 22529460     , 21.0926 , -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 120              , 395       , 47.77398, 449      , 0          , 196       , 0          , 0          , 4867        , 131.2497    , 549          , 36921390     , 27.10161, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 120              , 395       , 47.77398, 449      , 0          , 256       , 0          , 0          , 4867        , 131.2497    , 830          , 55817780     , 33.48814, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 120              , 395       , 47.77398, 449      , 0          , 324       , 3270       , 101.7938   , 4886        , 130.0201    , 1162         , 78141270     , 39.86114, 767643
 , ,, , , ,170             
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 170              , 445       , 44.46276, 449      , 0          , 36        , 0          , 0          , 4334        , 131.3739    , 26           , 1748552      , 5.84558 , -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 170              , 445       , 44.46276, 449      , 0          , 64        , 0          , 0          , 4334        , 131.3739    , 56           , 3766113      , 8.58327 , -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 170              , 445       , 44.46276, 449      , 0          , 100       , 0          , 0          , 4334        , 131.3739    , 131          , 8810012      , 13.1444 , -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 170              , 445       , 44.46276, 449      , 0          , 144       , 0          , 0          , 4334        , 131.3739    , 241          , 16207730     , 17.86163, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 170              , 445       , 44.46276, 449      , 0          , 196       , 0          , 0          , 4334        , 131.3739    , 430          , 28918340     , 23.93588, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 170              , 445       , 44.46276, 449      , 0          , 256       , 0          , 0          , 4334        , 131.3739    , 666          , 44789780     , 29.91111, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 170              , 445       , 44.46276, 449      , 0          , 324       , 23         , .009707735 , 4254        , 131.7232    , 916          , 61599660     , 35.23426, .63E10
 , ,, , , ,220             
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 220              , 495       , 41.50012, 449      , 0          , 36        , 0          , 0          , 3746        , 125.391     , 21           , 1412290      , 5.253084, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 220              , 495       , 41.50012, 449      , 0          , 64        , 0          , 0          , 3746        , 125.391     , 52           , 3497098      , 8.270493, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 220              , 495       , 41.50012, 449      , 0          , 100       , 0          , 0          , 3746        , 125.391     , 124          , 8339232      , 12.78689, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 220              , 495       , 41.50012, 449      , 0          , 144       , 0          , 0          , 3746        , 125.391     , 218          , 14660900     , 16.98132, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 220              , 495       , 41.50012, 449      , 0          , 196       , 0          , 0          , 3746        , 125.391     , 364          , 24479660     , 21.99753, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 220              , 495       , 41.50012, 449      , 0          , 256       , 0          , 0          , 3746        , 125.391     , 558          , 37526500     , 27.32712, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 220              , 495       , 41.50012, 449      , 0          , 324       , 0          , 0          , 3746        , 125.391     , 809          , 54405510     , 33.04947, -1    
 , ,, , , ,270             
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 270              , 545       , 38.84731, 449      , 0          , 36        , 0          , 0          , 3273        , 118.8845    , 8            , 538014       , 3.241571, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 270              , 545       , 38.84731, 449      , 0          , 64        , 0          , 0          , 3273        , 118.8845    , 34           , 2286559      , 6.68557 , -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 270              , 545       , 38.84731, 449      , 0          , 100       , 0          , 0          , 3273        , 118.8845    , 92           , 6187160      , 11.00816, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 270              , 545       , 38.84731, 449      , 0          , 144       , 0          , 0          , 3273        , 118.8845    , 186          , 12508820     , 15.67706, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 270              , 545       , 38.84731, 449      , 0          , 196       , 0          , 0          , 3273        , 118.8845    , 295          , 19839250     , 19.77982, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 270              , 545       , 38.84731, 449      , 0          , 256       , 0          , 0          , 3273        , 118.8845    , 491          , 33020570     , 25.60431, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 270              , 545       , 38.84731, 449      , 0          , 324       , 0          , 0          , 3273        , 118.8845    , 727          , 48891580     , 31.28442, -1    
 , ,, , , ,320             
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 320              , 595       , 36.4679 , 449      , 0          , 36        , 0          , 0          , 3038        , 109.3833    , 8            , 538012.9     , 3.241571, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 320              , 595       , 36.4679 , 449      , 0          , 64        , 0          , 0          , 3038        , 109.3833    , 46           , 3093572      , 7.777948, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 320              , 595       , 36.4679 , 449      , 0          , 100       , 0          , 0          , 3038        , 109.3833    , 99           , 6657907      , 11.42061, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 320              , 595       , 36.4679 , 449      , 0          , 144       , 0          , 0          , 3038        , 109.3833    , 183          , 12307040     , 15.54933, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 320              , 595       , 36.4679 , 449      , 0          , 196       , 0          , 0          , 3038        , 109.3833    , 309          , 20780730     , 20.24856, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 320              , 595       , 36.4679 , 449      , 0          , 256       , 0          , 0          , 3038        , 109.3833    , 462          , 31070210     , 24.82423, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 320              , 595       , 36.4679 , 449      , 0          , 324       , 0          , 0          , 3038        , 109.3833    , 641          , 43108110     , 29.33151, -1    
 , ,, , , ,20              
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 20               , 478.333333, 42.45136, 449      , 0          , 36        , 0          , 0          , 3901        , 128.2044    , 17           , 1143283      , 4.72607 , -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 20               , 478.333333, 42.45136, 449      , 0          , 64        , 0          , 0          , 3901        , 128.2044    , 57           , 3833359      , 8.659713, -1    
